label,title,content
1,One of the most scariest movies I have ever seen!,"This movie has got to been one of the best horror movies I have seen in years. This movie made me so scared, when we saw it in the movie theater, I screamed out ""Oh, my god!"" at one scene of the movie! This movie is a thriller."
1,glider,"the glider got here much sooner than I thought, it arrived in great shape and all the pieces were there. I put it together by myself even if the kept saying 2 people. It was not hard and directions were simple.. It's really nice"
1,The Descent,"This movie was really great, I wasn't expecting much, but this movie has more blood than any horror movie I've seen so far. Good story, very scary at times, and I don't scare easily, enjoyed this movie very much."
0,A somewhat annoying companion,"This book may be of value to someone who really knows Virgil and Virgilian scholarship, but Horsfall's style is so idiosyncratic, and his approach so random, that students and other intermediate readers are best warned off. Ideas are presented, or hinted at, in sentences or sentence fragments overflowing with parentheses, exclamation points, question marks, footnotes, and cross-references. The text is poorly edited and in places doesn't make any sense at all. Overall, one gets the impression that Horsfall (who wrote most of the book, and translated two chapters from Italian into his own idiom) is a brilliant scholar who welcomes us into his brain but really can't be bothered tidying up before we come in."
0,Dumb and unsatisfying.,"Dumb and unsatisfying horror movie that is made worse by the terrible acting of Keanu Reeves, who is extremely miscast in his role. The rest of the film is almost as bad as Reeves's performance with the exception of Rachel Weisz, who manages to give a great performance thou out despite the movie horrible script and crappy special effects. I would have paid to see her character in a more serious and better horror film than the garbage that is here.The one star review is for Weisz, for at least giving a great performance despite the huge shortcomings of this film. Too bad that she was not the lead instead of Keanu Reeves."
1,Awsome ..,This is an amazing set of blocks. My 2 yr. old absolutely loves them and these magnetic blocks are very easy to use. Its a great toy for toddlers and preschoolers. Just add a few of the vehicles to it and you have days of imaginative fun ahead. My kids have not stopped playing with these since we bought them a few weeks ago.
0,"this should be titled ""An introduction to Jakarta projects""","If you are new to JSP/servlet development or want to know more about Struct or Log4J, this might be what you need. But for those who wanted to get in depth detail on Tomcat, forget it."
1,SpongeBob SquarePants Movie = Great Movie For All,"I personally love this movie. I am a fan of the series and I just had to see this movie. So, the very day it came out, I bought it and watched it with my family.And guess what! I loved it! SpongeBob & Patrick go after Neptune's crown in order to save Mr. Krabs from being incenterated by Neptune. While this is going on, Plankton (who is the one who actully stole Neptune's crown and has conquered Bikini Bottom) send a bounty hunter to stop SpongeBob and Patrick from retrieving it from Shell City.All this plus David Hasselhoff and bubble hating tough guys too!And SpongeBob and Patrick have to face monsters and a giant Cyclops (a man in an old fashion diving suit!A great movie with a great voice cast and a great story make this a treat for fans and non-fans alike. So, what are you waiting for? Buy this great DVD and enjoy it again and again."
1,Excellent Rice Cooker,Great product. Perfect rice every time. Excellent for brown rice. Keeps rice warm. Also does excellent job of cooking grits. Easy to clean. Takes a little longer to cook rice but the flavor is worth the wait. Pricey but great quality. Would highly recommend this product.
0,2 Good Songs,"This album was basically horrible the only 2 good songs were the 2 singles ""Tush"" & ""Run"" the rest of the album was trash. I would definitely not recommend this album. All the beats are horrible and the collaborations suck too."
1,Love these tires!,I have purchased 2 other sets of City tires & these are by far the superior ones. They are fast on straights & handle nicely on turns. I will be definitely be purchasing another set of these when my old set is done.
0,SUCKS,this movie was the longest...boring movie i have ever seen. i didn't think he could ever do a horrible movie till this one. the whole movie shows him getting high and going on trips and setting people up for his mistakes...its a bunch of crap! maybe it would be good for someone that is really stoned out of their mind to sit down in watch.
1,Very pretty and good quality,My two year absolutely loves puzzles and this has been a great addition to our collection.. It's sturdy and I don't think she'll be able to wear it out or break it.
1,Awesome,This is the book that got me buying the other two in the series. I got it through the lending library on my kindle fire. I love the books that just appeal to me. Its much better than watching a movie.
1,Great Show!,Arrived safe and sound and in a timely manner. Nice addition to my ever-growing classic movie library!
1,Good For the 'New ' No Limit,"C-Murder is obviously Master P's little brother. With a similar delivery and all most identical voice, he finally has begun his approach out of his big bro's shadow. Kinda sad to see some of the faces gone after No Limit has revamped(biggest manuever NO Beats by the Pound), but their new musical style is gonna keep them in CD players all over the streets. This album has a handful of 'gems'. I personally like the songs Damned If They Murder Me, Down for my N!gg@s, and Hustlin. Gotta love Krazy(2Pac's vocal clone) and Mac brings it every time. C-Murder keeps up with the basic formula for song concepts that has made No Limit famous. If your a No Limit fan you've already got the album. If your not, this is a quality album but definately peep a few more albums off the label to fully appreciate how far they have come. Keep your CD's spinning."
0,Why Did They Choose HER?!,"I saw this movie on television. I was really excited because I thought it would be interesting and Audrey Hepburn is one of my favorite actresses. Well...This movie was AWFUL!! Why on earth would they pick Jennifer Hewitt to play Audrey Hepburn. Natile Portman might have been a better choice. As others said, the girl who played the younger Audrey did a pretty good job. Perhaps Miss Hewitt is a better actress in other shows and movies, but not this time. This movie could almost be classified as a comedy! She didn't even keep up her fake Audrey voice throughout the entire movie,and when she did use it she sounded like Audrey with one word 'CAT'.The actors who played Gregory Peck and William Holden were a joke; they were awful and didn't look or sound like either Peck or Holden. The movie showed none of Audrey's later life. If you missed seeing this on television,you didn't miss much. If you still want to see this, rent it; you might be sorry if you buy it first."
1,Tivo is much better than your cable company's DVR,"Tivo is a great service and well worth the extra costs compared to the cable or satellite company DVR. It works well, is reliable, and will truly change the way you watch tv. The downside to all this is that most Tivo boxes (except for the expensive Series3) all rely on analog cable connections. This will be a problem in the future, as cable companies move away from analog systems and to digital systems. (Of course, there are work-arounds, but they aren't very elegant or cost effective). As long as you know this limitation, and that the future of the Tivo Series2 is limited - it's the best thing since sliced bread and well worth every penny!"
1,50 First Dates,"Adam Sandler plays a guy that is about to giveup on love until he meets Drew Barrymore whohas a short-term memory loss, where she forgetseverything the next day; she can only rememberanything that has happened before the tragicmoment in her life that messed up her brain."
0,only about custody!,"This book should be titled 'What Every Woman Should Know about Custody Battles'. I found absolutely nothing helpful about a basic childless divorce in this book. If you are going through a divorce and have custody issues, this might be okay for you. If you have no children, don't even bother."
0,horrible,"This [guy] can't sing. The music is nu metal [crap]....with no talent. If you like this, you are under 18 years old. Otherwise, shame on you. This [garbage] deserves zero stars. Are these guys terrorists?"
0,A Bore,"I watched this movie when it first came out and thought it was really boring and disappointing. I generally like Katie Holmes and think she was fine in the movie, but Christian Bale was lousy and so was the plot and direction of this movie. If you just want to see a series of technical movie stunts followed by a few mildly romantic scenes surrounding a plethora of neurotic, self-absorbed dialogue, psychosis, and horrible directing, then you might be interested in watching this movie."
0,Not a fan.,A mediocre story plagued by poor writing. The ending is too obvious. The gypsy game is a redundant plot element - the same effect is achieved by the fact that the boys are twins. The author seems to take the easy way out: he neither assumes a POV nor does the plot justify the unnanounced changes in POV.*SPOILER* The only enjoyable part of the novel I found was the final scene. At least the demise of the infant was inventive.
1,Big O,The shrink wrap was still on the CD needless to say I was impressed this is the very definition of new 5 stars for sure
1,Beautiful,This movie is just brillant! Jonny Lee Miller and Robert Carlyle are fabulous. and Liv Tyler sparkles. Plunkett and Macleane had all elements of a memorable movie that you'll want to watch again and again!
0,The music's better than the movie,"SPINOUT is another hard movie to sit through, thanks to the weak dialogue and even weaker storyline.Elvis plays a singing race car driver (for the second time), who is being chased by three women. These include a spoiled brat (Shelley Fabares), an erotic author (Diane McBain), and his own drummer (Deborah Walley).The music is actually listenable in this picture. Highlights include ""Stop, Look, and Listen"" and ""I'll Be Back"".Elvis appears to be sleepwalking through this one. His appearance is also disturbing: slightly overweight and his hair looks like a big black ball on his head.Again, not QUITE the worst, but far from the best. Buy something more worthwhile first."
1,Nice compression shirt...runs small...,like the other reviews state order size bigger...trust me I usually wear XL...I'm 6ft 210 broad shoulders so I read the reviews and followed their advice. I ordered an 2XL and this shirt is very tight without being washed yet. SO do order size up.
0,Abysmal,"I was quite disappointed after reading Autumn. Maybe it was the large anticipation I had incorporated when purchasing the book, thinking that post-apocalyptic scenarios were ""my kind of thing"" (and they still are). However, Moody's book was very poorly written. Not only did I encounter numerous grammatical mistakes, but there was absolutely no connection with the characters. It was almost like, ""here are the characters, now you must try and relate to them and follow through with their overly obvious situations."" I felt no sympathy with Carl's death, or any other middle school -written events that occurred. Overall, this was a terrible book in the sense that there was no captivation whatsoever. Although the abysmal stance of Autumn, Moody is an amateur, and will hopefully progress in later writings."
1,in the heart of the sea,"this is one of the finest books i've ever read. the story is fabulous and the author's delivery is perfect. however, it is VERY graphic. the content can be extremely disturbing if you are not interested in the worst events any human can experience. it is told from the perspective of the survivors."
1,love it!,"I love this watch and get compliments on it all the time. I am an RN and have looked for years for a watch that performs all that this one does. Analog face, digital 24 hr clock,and many other features that I will never use. The best feature for me is the count down timer. I knocked off points because 1. there isn't a second hand, the seconds are digital display. 2. I'm concerned about the band because it is getting dirty and reg. soap doesn't clean it. The silver ring around the face really shows it off. Sits high and is a serious sports watch but I'm wearing it at the hospital."
1,ONE OF ALL-TIME FAVORITES!,"This story felt like I was living there...feeling, tasting, sweating, right along with the characters. I would have sworn Gloss was taking this word for word from the woman's diary. Being thrilled by such everyday struggles like getting a mule down the hill..now thats what I call virtual reality. I was so enthralled by the ""cowboys""...kept thinking I never would have dreamed I'de love a book like this so much...but it was so true and delicious. Thanks for taking me to Oregon in the 1890's. It was a thrilling, amazing adventure. The struggle's the pioneers endured were incredible...so much more so for a woman, and a woman alone at that!"
1,okay for the price,"I used it for a week and half and it seem to work as described. I don't know how well its going to work for over a long period of time, but it is cheap so it probably wouldn't last that long. No leakage of air or anything yet. It was the right size for me and I am 5'2, it might be small if your over 6' I'd imagine. Anyways, I recommend it to people who are looking for a temporary place to sleep."
1,Great Book,Started reading and recently finished. It is amazing how Jules Verne can imagine a submarine back in 1870. Makes one wonder how he could capture the essence and adventure of the Sea.
0,A book written by a torture lawyer,There's no way I would read a book and give profit to a man who wrote memos to attempt to allow Bush to circumvent the Geneva Convention against torture.
0,Truly awful!!!!!!!!!!!!,"I read some reviews here and elsewhere that sounded positive, but honestly this film was AWFUL. My friend and I seriously discussed leaving after the first 20 minutes (somthing I have never done before), but decided to stick it out and hope that it would get better. It did, but only marginally. I ended up wishing that I had walked in the first place and not wasted my time and $9.00 on this sea of stupid lines and pointless ""plot"". It was insulting to both Hawaiians and Trans-gender people and most of all was NOT FUNNY, truly. I like Drew Barrymore, and Adam Sandler when he is playing a character with a brain in his head--and there is chemistry between these actors(...). Rent The Wedding Singer instead. DON'T WASTE YOUR TIME AND MONEY--if you are over the age of 11 this film is too immature for you. And if you are under the age of 11 you will be bored."
0,"Sucked really bad, not even a rental...","This movie was by far the worst I have ever seen, I had to fast forward most of it, as it was painfully drug out. You would be better off constipated, sitting on the throne with a comic book instead of watching this load of garbage.Eastcoast Phil.TCBRN."
0,Inappropriate for young children,"In two of the episodes, the word ""shut up"" is used. My son is three years old and instantly picked up on it, repeated it, and told me it was a bad word, but that James and Duck (the trains) had said it. I would stay away from this one, especially if you have young, impressionable youngsters. I gave it one star, since the wooden dragon train came with it."
1,This is my absolute favorite Depeche Mode album!,"I first heard Depeche Mode when Violator came out and decided to buy previous albums. This one, by far, is one of the best! 101 is another great album. Strangelove, Little 15, I want you know are all awesome songs! I can hear any Depeche Mode song and go back to my high school years! I was totally in love with David!"
0,"Good, but I expected more","After falling in love with Nathaniel and Elizabeth in Into the Wilderness, I was thrilled to continue on with the series. Much to my dismay, this book did not live up to my expectations. Is it a coincidence that Gabaldon's Voyager and this book, both set mainly upon the high seas, were my least favorite out of each author's series? Hmmm. The only thing that kept me going was the promise of the third book Lake in The Clouds. The book is worth reading, don't get me wrong. Especially for those who continue on with a series. The Scotland thing seemed unnecessary to me. I would have been happier if they'd stayed in North America. Oh well. Artistic license."
1,Very pleased,I love Pampers diapers. The diapers never leak even at nighttime or long road trips with our babies.
1,Great Book,"This wasn't the fastest ship in the world but it was shipped in great condition (which I am sure is difficult for a paper back) I love the book, I have read it several times before, just wanted to add it to my collection."
0,Zorba the Greek,"The quality of the materials was very disappointing, also parts of the orignal book were deleted. This was especially bad because it was for a gift. Further, I will not ever have any item gift wrapped. It was pretty cheesy."
0,Disappointed,"What a shame that these are considered to be"" acclaimed films""..while the color,design,etc was fine-I was. Surprised that these fine actors would choose to act in such features.To be honest,I must admit. That I was unable to bring myself to finish viewing them all,it went from bad to worse"
1,Medicine for the Soul!!,"This film has to be one of the most feel good, charming, and entertaining movies I have ever seen! After a tough day, a bad experience, whatever unpleasantness the world can dish out, ""Moonstruck"" has the ability to make it all better. The film takes you to a place where it is all forgotten, at least for the time spent enjoying it. Cher, always wonderful, will put a smile on your face from the first moment you see her. ""Moonstruck"" is a movie you will want to own! I watch it at least once a month...it's simply the best!!"
1,A Great Book for any Runner,"This book changed the way I run and my outlook on life. I have a more positive attitude and feel more balanced in everything I do. The simple pre-running exercises take very little time and are excellent for running or any stressful activity. Also, I do not consider a run finished without doing my leg raises. I recommend this book for anyone who runs."
0,Not in the same league,This movie just plain ... If you are a fan of the first two you will be sorely disappointed by this installment. It looses its sci/fi roots and edgy humor and just becomes cheesy.
0,the bottom below the false bottom of the barrel,"This movie just barely goes through the motions of all the other movies it's ripping off. Not even fun as trash - it's too dark to see large parts of it. No scares, no suspense, nuthin. Rock bottom."
0,Bummer - also burned,"I read a review of this book at woodworker's gazzette and it was really positive. So I ordered the book and it arrived last week.This book is cursury in its treatment of the topic and has no answers to any of the questions I was interested in. For example there is no discussion of stone tiles, heating systems for tiles, width of groutlines. This book is embarrasing. I have a book from Home-Depot on tiling that is superior to this one in simple answers to simple questions.My advice - avoid this book and look elsewhere for your info."
1,One of the Top Ten for any Gnostic Library,"THE SECRET BOOKS OF THE EGYPTIAN GNOSTICS by Jean Doresse is another great scholarly work free from ""New Age"" claptrap & commercialist distortion. The book is particularly relevant as French author Doresse was literally one of the first Westerners to actually see the original Nag Hammadi texts discovered in 1947. Although Doresse is a Christian proponent with a thinly veiled hostility to Gnostic tradition, he provides a wealth of reference material and, like Kurt Rudolph, indicates a possible interaction with Gnostic beliefs and Paganism--particularly in Alexandria, the motherland of Gnostic Paganism. This book is a MUST READ for any serious student of the origins and practices of Gnostic Philosophy.Gospel of Judas and Other Gnostic Secrets Revealed"
0,Wort. Movie. Ever.,"Transformers 3 is seriously a terrible terrible movie. yeah wow cool, special effects that i have seen time and time again, ridiculously long battle scenes that are so incredibly boring they literally make me fall asleep EVERY time i watch them, Terrible story, terrible plot, terrible rendition of classic characters. Why I even gave this movie a third chance is beyond me."
1,Highly Recommended!,"The best thing about this book is that it quotes extensively and piquantly from the writings and speeches of Jack Welch. The intriguing list of ""29 leadership secrets"" (which could have been reduced to ten) is more selective than secret, given that Welch has been preaching them loudly from a very prominent platform for more than 20 years. However, the book will be valuable to Welch neophytes and to fans who want more Jack, or the essence of Jack. Author Robert Slater assumes a certain familiarity with GE's history and initiatives, and sometimes refers to them without explanation. Welch long ago transcended management to become sort of a leadership prophet, and his utterances are sometimes paradoxical, if not contradictory. He says nurture people, but downsize; he says cut bureaucracy, but implement a paperwork intensive Six Sigma program. We promise that somewhere in here, you'll find a managerial principle to fit almost any occasion. What more can you ask of a handbook?"
1,"""He Lives!""",This was a GREAT book! I typically am not a fan of alternate history (AH) but I could not put this book down what with the plot twists and a great surprise ending.Buy this book!
0,Design confuses some into burning kettle,"I've had one house guest and one nanny place this kettle on my gas stove believing it's a standard kettle. The first time, I wrote Cuisinart a letter, and they graciously sent me a new kettle. Great customer service. The second time, I'm going with a less confusing design, the Capresso glass electric kettle for a couple extra bucks. It's not worth burning my house down ; ).This design looks just like Cusinart's other standard kettles. So if you have elderly parents, or people what are not familiar with recent developments in water boiling, you might want to consider a less confusing design. (p.s. the plastic base melts in seconds if it comes in contact with a heat source)."
1,Dolly Parton - The Grass is Blue,"This is a great CD, especially if you like Bluegrass music and Dolly Parton. What a fantastic combination!"
1,The best series of books out there,"This book is if not the best then it's up there in the top five, along with the other 3 she has written. The story of a young women struggling to grow up and live in a world that doesn't accept her can be related to each of us and will be a book you remember for the rest of your life. The writing is fantastic and you are swept away into a world of prehistoric man that you won't want to come back from. The only problem is when you finish all 4 of her books you are on edge waiting for her to finish the next one. Earth's Children should be the set of books every person has and you will reread it many a time."
0,BIG MESS,"These diapers seem to have gone down hill fast with regards to quality. Over the past two packages (in a span of around 20 diapers) we have had two diapers burst open at night and deposit the inner crystals all over my toddler and his crib. A big mess and who knows the effects of the crystals? Also, my son has NEVER had a diaper rash and now has a severe case. Pampers Baby Dry diapers has been a good value in the past but will never use again."
0,Not good for regular use,"This ball is great when it's inflated, but it doesn't seem to stay that way for long. When I pump it up on a Monday, it's already soft by Tuesday and needs another pump to be usable for anything but bouncing around. I'm pretty disappointed with its performance but waited too long to start using it and therefore am unable to return it..."
1,"""Communion"" movie review","The movie wasn't as scary to watch as it was the first time I saw it two decades ago. But Christopher Walken is so perfectly cast as Whitley Strieber (author of the book and victim of the alien abduction) that I'll keep the DVD as a ""Walken classic!"" He's so unique, and such a hoot. The movie is interesting too."
0,Clay Aiken Who?,"That's right. With music like this he's already forgotten. And to Mr. A music fan from Phila, Pa, Clay Aiken's album was released at a time when there was no other competition. Hello!!! Noone good or really popular anyway is releasing albums at this time, so sure he'll be #1. I'd like to see him go up against Eminem, 50 Cent, Norah Jones, or even Britney will smoke him in sales and she can't even sing. So keep reading , Mr. Music Fan from Philly a.k.a ""Loser"", those same two and only two magazines that like Clay. By the way, my radio stations doesn't play crappy music like yours."
1,Love KidKraft,"I love this desk! In fact, I have two! One for my daughter and one for my son. They are beautiful, flawless and go together easily. They are sturdy and should last a many years. So happy with this purchase!"
1,helps in understanding children,"For a long time I have been discouraged in my efforts to establish two-way communication with children. I would bring books, toys, and games to social functions and share them with children. Once one activity was over, the children would stare at me, waiting for me to start another activity. Why won't they provide any input of their own? Am I overpowering them without realizing it?This book explained everything: the children think I'm a television!"
0,A GREAT IDEA WASTED,"VAn Damme's movies were going nowhere, each one worser than the last one ... Then a good idea came up: why don't try to make a kind of ""epic"" movie, taking a lengendary theme (the French unit called ""Foreigner Legion"" )and changing from the custumary scenario of karate kicks and sterotyphed villains who want to rule the world ? Great idea. I bought it. So, what disapointment after watching this.. it became clear that, no matter how many movies he has already made, Van Damme will never improve as an actor... EVery frame of the movie is wasted, making us think that he is being bad orientated by his agents or film-producers. IT's a totally unconving history, without pace and rhythm..."
0,Mr. Disappointed,"If your looking for an art book with more art similar to the cover, Keith Parkinson, look elsewhere. There is very little sword and magic fantasy contained inside. This book was a major let down. Parkinson's art is maybe the first four to five pages, after that the pages would best be used right before a flush."
1,A Good Fun Guide to Swedish,"I actually purchased this book a few years ago. As a high school student into Swedish culture, I bought this book because it looked fun and easy to read. I was very impressed with this pocket sized text.I felt as though I started learning Swedish right away. I learned my phone number, days of the week and greetings. I taught my friends. They all borrowed the book.I went to Sweden and Finland about a year later. I found it useful. It is not the be all and end all of the Swedish language by any means, but I loved it. I do wish it had an audio tape.I lost the book recently and I have decided to repurchase the same book because I have found none better for the price and quick information it provided."
1,A thing of beauty is a joy forever,"This is an all-new edition, following the 2002 hbk, but Fantagraphics don't flaunt the fact. Why not? The hbk's long sold out and they could sell this all over again to nerds like me. Seriously (OK, I was serious), the hbk's heaven (snap 'em up, fellas, while you can) and this is bliss, apart from the curious (and curiously irritating) typography chosen for the headwords. Trina Robbins went, or was pushed, down the same route when A Century of.. morphed into The Great Women Cartoonists - the Women and the Comics original I've not seen - but we're not talking wacky here, fellas, this is serious art! Well, OK, fun art. Thanks a million, Gary (Groth)"
1,Perfect for my pickup.,I have a S10 pickup with a topper and my options for a bike rack were limited. This is perfect. It's a little labor intensive to put on and take off but it works... it works well... and I'm very happy with it.
1,Even better than 98 if thats possible,"Let me start off by saying that if you are an F1 fan especially a technical one(like myself) you can't pass up this book. If you do not know who Giorgio Piola is, he draws for the weekly magazine AutoSport. He is one of the best artist I have seen. His technical drawings allow you to understand the F1 cars in a technical perspective. Compared to the last edition ""Technical Analysis 98"", this one is even better. If you don't have the 98 book you should order that one too. I do like the 99 book since it is written in english only as opposed to the 98 which is in italian and english, but thats not a problem. What will really impress you is the attention to detail of the drawings, but they are so easy to understand. Again this is a must for any F1 fan. Hope you enjoy it as much as I did."
0,**JUNK***,"Please save yourself some money and if you have this printer..unplug it and throw in trash now before you waste countless hours of your time, ink and expensive paper...jams constantly and hand feeding required..RUN AWAY!!"
1,astrology,"This a the book everyone should have- from serious students of the stars, to consultants, to people who know nothing at all about astrology. It's brilliant, hilarious, and ORIGINAL. You won't find a lot of this information in any other astrology books and it is accurate-"
0,Greasy Grapefruit!,"A sugar and oil mix with an explosive citrus fragrance. Yes, your skin will feel softer, but it's not worth it. I had to wash it off with soap and water, then clean the tub before I got out so I wouldn't fall. Take a shower and spray yourself with oil spray - it's not messy or stinky, and certainly not as slippery!"
1,Best book ever,This first book in my 62 years that has make me laugh & cry. It is an amazing story of a young women who suffering made her stronger to survive & to love unconditionally.
0,Worst Product which I received from Amazon.,The product which I received was different from other store.It was not soft and comfortable for baby as usual.I don't know why the product was different from the previous ordered one.Worst product that I've ever received.
0,Be aware of ATI products,"I agree with others opinion that if you get lucky and the card installs properly this product is great. I have quite extensive experience with PCs (I have put together over 100 of them) and it took me 6 hours to make this card work. I would give it more stars but..... First of all, when I bought it, it said on a box that FREE VideoStudio 6.0 by Ulead is included. Well it wasn't, instead there was VideoStuio 5.0 which I wasn't able make it work. Secondly, when I tried to contact ATI by email I was getting stupid autoreply totally unrelated to my question why ATI company is cheating their customers. I would call them but they charge you over [X] a minute for support. So the bottom line don't count on any support from ATI."
1,Great entertainment.,My two year old niece watched this movie about 5 times in a row. Who doesn't love Spongebob! Money well spent for some quiet time.
0,IT ISN'T FULL SCREEN IN THE BOX!!!,"I was so disappointed when I ordered this from Amazon! I hate widescreen and having the picture cut so I specifically ordered this so I can get FULL SCREEN! I opened the movie which said Full Screen on the front, only to find out the DVD inside was really WIDESCREEN! How could Amazon do that!? I wonder if they're just reselling movies. Very careless on their part and I would return it except I already threw the receipt away because I had assumed Amazon would get it right. Don't think I'll use Amazon again."
1,"Still great, but...","This is my sixth edition, and this book is still a great way to get ready for the season.But the writing has taken a distinct turn toward the serious. The essays and player profiles are still chock full of relevant numbers and piercingly well-considered arguments, but this year they are also somewhat...I really don't want to say it...tedious.What was once a light-hearted romp through some serious baseball thinking is now rather dense and dry. I'll buy again next year, but I hope somebody sends them a keg of Lighten-Up.+"
1,Read it aloud - in one sitting! Riveted!,"My boyfriend and I were on an 8 hour car trip and I had picked up this book out of curiosity. I started to read a passage to him that I enjoyed, and before I knew it, I was reading the ENTIRE book to him--we finished it on the drive! We even read it during our pitstops, we were so into it.Now, we are not sailing buffs--...-so I was surprised that I enjoyed this so much. Truly, folks--the disbelief this book leaves you with is priceless. One of the aspects I enjoy the most is that the author has obviously done his homework and lets you in on what these people SHOULD have done...and then tells you what they actually DID... These men were, in every way, to put it eloquently, extremely SCREWED. We found it almost hilarious, though a little grotesque at times. :pThis is NO Shackleton expedition...THOSE boys all came out of it ALIVE............Read it!"
