text,label
"First of all I would like to say that this is a very nice hotel.  The staff were pleasant and the decor is very up to date.  The design of the pool area is very modern and compliments the hotel well. There's a nice selection of bars and restaurants through out the hotel providing many different options for the guests. The rooms are very modern and provide an array of lighting options in them.\nMy issues with the hotel started in the room.  The door to the bathroom slides shut on a rail that has no stopper so when I went to open it I slid the door too far and it fell off of the rail trapping me in the bathroom until my girlfriend had to come and rescue me.  I would have to say that's an extremely poor design on the door, at least have some kind of stopper in place.  The next issue I had were the maids/cleaning ladies.  While we were away they came in the room to straighten up for us.  The night before I had a small bloody nose that leaked a few spots on our white pillow cases.  The cleaning ladies remade our bed with the same sheets and spotted pillow cases.  The rooms come with a $40 a day food credit that we could use inside of the hotel but that was never told to us and we had to find out through another guest after we had already ate at different restaurants outside of the hotel.  We then had to argue with the guest services representative about removing the charges from food purchases in the hotel. \nAs nice as the hotel is the experience could have been much better. I've stayed in almost all the major hotels in Las Vegas and though they have their issues non compared to the amount I had to go through in one weekend at The SLS",0
"So after dinner, me and my bf wanted to stop by here to try a cupcake. They're a few stores down from the sea life aquarium so its in that area. When I saw the cupcakes, I was immediately blown away about how huge they were. My bf suggested that we share one since they're double the size of regular sized cupcakes. What surprised me was the fact that there were two guys operating the shop, but since the owners were men, the employees were men too so it made sense. Me and my bf got the pink Cadillac since I've heard raving reviews about it. I wasn't too thrilled about the pink frosting cause it tasted like it was sweetened with splenda or sweetnlow. The vanilla buttercream center tasted a lot better. The next time I go here, I'll try a vanilla one.",1
"This place was conveniently located right next to the Best Western Inn we were staying at!\n\nMy father brought his piano and I brought my guitar so we could show off our skills to the Mesa locals. Although the locals we were with only consisted of 5, we managed to get our show up and going.\n\nPops needed a sustained foot petal for his keyboard. I needed some electric guitar strings, strap and picks as my setup is torn up due to hardcore rocking out. \n\nNice selection of guitars and basses with a subpar selection of pianos. Turns out Milano Music actually has an entire store across the street with looked dedicated strictly to pianos and piano related products. The brass section was kind of cool.. it's on the second level with about 4ft wide walk space and railing along the sides. A little intimidating, but once you get over the fact that you may or may not fall off this thing or it may collapse, well.. then everything begins to feel alright.\n\nI was helped by an unnamed gentleman who took me right to the section I needed to be at. I'm an intermediate guitar player (in my head I like to think this), so I still have questions every now and then. When it comes to strings.. there's plenty of brands to choose from and all have claim to fame. Luckily the dude who was helping me out inquired my set up and pulled down the strings he thought suit best for me. To top it off, he even put in a 2 for 1 deal for me so I can try out a few different brands for a cheaper price. Thanks, brotha. \n\nMy father was helped by a young dude who found the exact foot pedal that came with my dads previous keyboard setup. Bing, bang, boom. Naturally we were in Milano for hours fiddling around, but if I needed something on the fly and happen to be in Arizona.. I feel the staff as well as the selection here would easily get me in and out and on the go.",1
"When you stay at a place as historied and revered as the Arizona Biltmore, you expect to be wowed. You expect the place to live up to the reputation you and your husband -- both Phoenix natives -- have heard about all your lives. You expect to be truly impressed. Unfortunately, were not.\n\nOur disappointment began at the get-go, with the less-than-friendly reception from our front desk clerk. No \""""Hi, welcome to the Arizona Biltmore!\"""" No \""""Thanks for staying with us.\"""" I don't think she even cracked a smile throughout the entire check-in process.\n\nOur disillusionment continued when we received our bill, which included a $28 \""""resort fee.\"""" When we sought clarification, the front desk clerk (not  Miss Surly) sweetly explained it was a fee for hotel services, such as phone, Internet, the business center, shuttle, etc. - none of which we even used. Yet, we were expected to pay for them. I think the traditional pay-for-play method would be a whole lot more equitable.\n\nFinally, since I had about two hours to kill between check out and my next commitment, I inquired at the concierge desk if they had a small fridge where I could park my leftovers from the previous night's dinner while I shopped in the area. Grudgingly, the man behind the counter agreed to the request. A \""""Sure, no problem!\"""" would have made it seem like much less of an imposition.\n\nBugged by the whole let-down, my husband called to report our observations about the storied Arizona Biltmore. The manager on duty politely listened and offered a free upgrade for our next stay. Unfortunately, I doubt he -- or we -- will get that opportunity.",0
It's a novel  idea BUT - burgers are not good. Tastes a bit like canned meat. I adore burgers (as you'll see if you look at my other reviews ). You pay for water (bottled) and I complained that my burger was cold - server apologised then didn't take it off the bill. Guess she wasn't bothered.  I wouldn't return to this place. Save yourself $6 and go to in n out. A much much better burger.,0
"I like this gym. It's nicer than some of the other gyms I've been to, and it's priced right at $22/month. But I think the real test of how awesome a gym is really comes down to \""""how long do I have to wait to use a machine at 6pm?\"""" because that's when this place is packed. Honestly, there are times where 6pm at LVAC feels like a nightmare: the locker rooms get packed, you have to wait like 10 minutes to use a machine, and parking is a hassle. But those horrible days (usually Monday - Wednesday) are not as big a deal for me because I prefer going on Tuesdays, Thursdays, Saturday and Sunday which seem to be less busy days. \n\nThey also have a little snack counter that is delicious, albeit too expensive to frequent all the time. The other day I had a turkey sandwich, a banana, some chips, and a water for $8. (Now my after-gym treat on some days is the peppercorn steak at Applebee's across the street for $10!)\n\nI do have one gripe about the gym: I always feel like the track portion of it should be cooler. It feels like there's insufficient air flow. At the same time, that may just be me complaining on account of I'm big.",1
"Really glad I got introduced to this place, I don't even mind it's a chain.\nPortions are very large, but you do pay for them. Got to try the baby back ribs and the brisket. Definitely the best ribs I have had-but what do I know, I'm from California.\nBrisket was moist and the sauce was well balanced. I tend to get overwhelmed by bbq sauce but this one was really good.\n\nDining buddy got the burger so I got to try it. Was actually tasty, especially the bacon. This might be a good option for people who would order a burger in a bbq joint; it will definitely taste like it was cooked on a grill (yes that's how they are supposed to taste).\n\nThe sides I had were mac and cheese and a baked potato. Mac and Cheese was creamy, baked potato wasn't stellar (then again when are they?)\n\nStrawberry lemonade was perfect! There's also a mixed drink that's a hurricane that will have you feeling good after only one.\n\nService was good up until the very end when we were waiting for a slice of cake to go that never came. Definitely a must if you are in Henderson. Actually, a must for anyone in Vegas.",1
"We live right by this park and I LOVE it, except for one MAJOR issue. We've seen the splash pad, used the dog park, walked around on the trails, seen the softball games and concerts, etc. That's all great. The park is clean, well lit, well maintained, and in a great location.\nBut WHO was responsible for the decision to put the lake right next to the playground and splash pad with NO fencing or barrier between the two? It wouldn't take much at all for a small child to wander away from the pavillions or the splash pad and fall in the water. Yes, kids are supervised but we all know that no parent can be everywhere all the time. I have a difficult time believing that no one thought of this during the planning and blueprint process. It would have been relatively easy to fix with either a barrier or a redesign of the park's layout. I'm afraid it will take a tragedy before anything is done about this.",1
"I really, really want to like this place. The food is decent, the space is pretty and the service has always been good. I just can't get past the client\u00e8le. It is in the PV Mall area, and for some reason it draws a kind of rough and tumble crowd. And they bring their kids. Ugh. Which is kind of weird to me since Z Tejas is literally just down the street and has a completely different vibe. Oh well. Can a restaurant control that? Maybe I am being unfair. Anyway, about a month ago, we stopped in  on a Sunday afternoon around 2:30 and had a great experience. Probably because no one was there, ha ha. We were offered the lunch menu and I had a fantastic lunch bowl with machaca. So, I signed up with Groupon recently and purchased a coupon for $20 for $40 worth of food so we decided to go back. Since we didn't want to jinx it we went back on Sunday...at 2:30. There were a few folks there, but it was relatively quiet. We sit at the bar and the bartender hands us the dinner menu. Hmmm. Maybe they changed policy on lunch hours?  Normally I would ask for the lunch menu but I am using a coupon so don't want to appear to be too cheap. Got my Sangria, yum, and perused the menu. Directly behind us, something funky is going on. There's a chick harassing a couple of tough looking dudes and a waiter comes over and talks to her about her \""""language\"""". Sigh. I did not hear much of what was going on...is she panhandling?! I try not to make eye contact in case she sets her sights on us.  Anyway, Bus Stop Betty finally moves on and calmness prevails. Back to the menu. The old man and I decide to order the same thing since I could not get him to change his mind; he can be so stubborn! We chose the Carne Asada with Jalapeno Bacon Wrapped Shrimp plate. It comes with a choice of sauce: sweet chili tamarind, prickly pear or mole! I love love love mole! I am so happy, because the other two are probably going to be too sweet for me. Just before the order comes out, our  bartender informs me that they are out of mole so he is giving me both of the other sauces. Seriously? Tell me that at the beginning! I would have ordered something else! As expected, sauces were way too sweet. Yuk. And how does a Mexican restaurant run out of mole? Not a good sign. Anyway, food was okay, but stuck using salsa. Also, thought that price was a bit on the steep side ($17) for two shrimp and way overcooked  (I ordered rare...it was well done) Carne Asada which is what...flank steak?! Walked out thinking doubtful I will ever come back. Sorry. I tried.",0
"Update: 6/20.\n\nI thought I'd give the impasta another try.  We had a guest from out of town, and thought we'd go out rather than spend the night in the kitchen.\n\nAs we went to our seats, we noticed an overabundance of drinking, and little eating.  As we scooted into our booth, the ladies next to us had to bowls of pasta that, for lack of a better description, looked dead.  They were lifeless, unappealing and bland.\n\nSo, we sat, looked over the menu, talked about drinks and wine, and sat.\n\nTwenty minutes later, we decide to get up, even though several people had looked our way.  No bread, no water, no hello, nothing.\n\nAs we left, we were stopped.  However, too little, too late.  We won't be back.",0
"Wouldn't recommend these guys based on my experience.  I reserved online one morning to pick up in the afternoon, but was told when I called an hour ahead of my pickup that there wouldn't be any cars available for six hours after my pickup time.  They weren't apologetic at all and didn't offer any kind of discount until I demanded one.  I don't think it's necessarily the fault of the guys at this location; car rental firms are just really poorly run.\n\n(There are better rental places in the area.  Wound up getting a car at a slightly better rate from a nearby Enterprise.  ...And I was able to pick up within an hour of reserving.)",0
"Clean, friendly, no long lines!",1
"Asian fast food and lots of it. It was intresting, just not something I want or crave. The kids love it, its fast and convenient. No frills, nothing memorable,  it is what it is.",0
friendly staff and some good rolls. Not my favorite place in the greater Phoenix area but definitely up there. Hiro gets pretty busy on the weekends so making a reservation is recommended.,1
"I wasn't sure what to expect when I walked in but if it's been around for 20 something years? or so I thought to myself it has it has to be good? It was a Sunday morning and there a bunch of open tables. We were told to pick a table so we did. After that it took a good 20 minutes before the lady came back to get our order and I was a bit annoyed because other tables who came in after us was getting their order taken. However, they had a different server so I'm not sure why our server was slow. \n\nWe ordered and the kids menu is very minimal. I ordered the original corned beef and hash with over medium eggs. My eggs came out sunny side up and runny all over the place. My corned beef hash was like burnt hash browns. The flavor was lacking and it was just overly crispy except for my eggs. On the plus side she asked if I wanted all of the peppers and onions and she was able to omit those. \n\nOverall I did not enjoy the food at all. Cool that they have homemade jelly but it didn't balance out that I had burnt food. Service was mediocre at best but it is what it is. I definitely would not come back when there are so many other breakfast places that are awesome.",0
"My wife and I attempted to eat at the diner at 11am on a Sunday and the best part of the visit was the parking spot, which was quickly ruined by my wife stepping in dog poop.\n  We grabbed the only available 2 person table, which had yet to be bused.  The frazzled 20-something server came over, apologized for the table and NEVER CAME BACK.  After 30 minutes of watching her frantically running around, people leaving and another \""""server\"""" bringing out food one plate at a time, we decided to leave.\n  I'm still a bit upset that we didn't get to try the food, which seems to get good/great reviews.  But whadda ya gonna do?",0
Fabulous for beer.  Plenty of space.  Board games.  Huge TV.  Just don't eat here - food was awful.,1
"Out after a Friday baseball game with another couple, we were loaded up quite well and the ladies decided Amsterdam was the logical place to go. Of course -- Cooperstown, Dbacks, Amsterdam! Being in my fan gear (Sedona Red jersey and slip ons), I was somewhat hesitant about not being 'hip' to their 'vibe' at Amerstam. Then Jenny reminded me that Charlies had charged her a cover but let me in for free, so I was sold.\n\nWe arrived about 9pm and the doorman was very friendly, asking about the game and checking our IDs. We spent most of our visit on the spacious patio having drinks until hitting the dance floor and leaving. As others have mentioned, they seem to not stock some typical ingredients (we had a round of white russians with soy milk) but, as an adult, I'd use this as an opportunity to try a different take on a favorite or something new altogether (we had absinthe -- it was gross and I felt like crap the next day).",1
"I have to say we were disappointed.  We found out they had a thin crust pizza, and we were \""""yes!\"""".  But the thin cheese pizza (which, in my opinion, is the best way to judge dough and sauce) had no flavor.  Really, you only tasted cheese.  Sauce had absolutely no flavor, and the dough was dough--brought nothing to the flavor of the pizza.  Now, I'll definitely say that a lot of people had stuff on their pizza--and perhaps that's how you're supposed order at this restaurant.  But a good pizza should stand on its own, and this one really didn't.  We had to add Oregano, parmesan, and salt just to give the pizza some flavor.\nWe had the Calamari--they were strips rather than rings.  They were deep fried with a heavy batter, and the oil was likely old.  The batter came dark, the marinara was too thick, and the calamari itself tasted old.",0
"Word of mouth!  That is the secret to finding this honest and competent mechanic.  I brought my car here for a second opinion on some recommended repairs that another shop wanted me to do.  And after looking under the hood, the recommended repairs was just the routine minor service plus replacing the hoses (reasonable given the age of the vehicle).  The cost of repair was reasonable, and the overall bill was hundreds less than what the competitor wanted me to pay.  \n\nThis shop may not be well known on Yelp, but the 3-4 times that I have been here over the past year, the place is always busy.  Most of the customers are Japanese, as the mechanic is from Japan, and really knows his Japanese cars.\n\nHonesty, reasonable quotes and competent mechanic skills are reasons why you should check out this mechanic.",1
The MUSHROOM CREAM SOUP saved me many times during late nights!,1
"SUCKED/HORRIBLE/WASTE OF MONEY!!!!!!!!!     I placed a order It took a hour te get my meal and when i received it my frys were still frozen when served, my sub had hardly anything in it, a slice of meat and hard melted cheese. The wings sucked. I spent 40 bucks there. I would have been better off going to subway and long wongs then this crappy place. When I complained there was no correction for what was served. Never go there. This place is HORRIBLE!!!!",0
"Love the lamb tocos and the sangria here. The patio is awesome. Margaritas are not half bad either! The chips are great, and the guac is delicious when it's not too salty.",1
"I really want to like this place as the hair dresser was so nice and friendly - but the hair cut I got here was so far away from being chic that I got another haircut to fix the one I got here. I wanted a cute pixie haircut that was feminine yet a little unkempt, that would provide some volume and be easy to style. But the hair dresser pretty much just chopped it off a little over the shoulders, put a little gel in it, and sent me out with my hair wet so it would air dry. I thought it was bizarre to say the least, and when my hair was dry and this super cool hair cut had failed to appear I just felt ripped off. Granted, he only charged me $30 or which I tipped $10 so a total of $40 - but that really wasn't a bargain because it just looked drab and boring and was still sticking to my neck in the muggy Montreal summer heat. \nAlso when we were discussing hair cuts and salons in Montreal I said I had gone to Pure before and he totally dissed them and said they cut angled cuts like Victoria Beckham. Thing is, she has long hair. VB had those angled hair cuts years ago. Shouldn't a hip stylist keep up with trends just a little bit?? Besides, shouldn't he cut whatever the client wants him to cut? I didn't exactly want a VB haircut but is the only alternative cutting it off straight at the shoulders? Seriously I am perplexed - how can this salon be on the Best of Montreal list? They must have bribed people to get on it. :(",0
"Dropped in with my expired Groupon.  Basically used my Groupon as a credit which they were happy to do.  Got waxed and must say was one if the best waxing experiences ever, great job and she took her time will definitely use her from now on.  Then pedicure... Awesome pedicure.  The while experience felt relaxing, not rushed at all.",1
Customer service is par but their service center needs work really bad. I had a flat replaced on my VN800 so I figured get both tires replaced. The girl that put my tires on took 2 hours for the front tire because she balanced it backwards when there is a sign on the tire pointing in the direction on which way its suppose to spine. Not to mention with in a month the valve stem broke here I am 6 months after install and it breaks again. Seriously even if it has to be ordered let someone else do the work.,0
"Dr Wilkes is the most amazing, caring, understanding perinatal dr. He made it possible for me to have my two amazing babies!",1
"This is my second time here and the food is decent and great for quick service. Unfortunately, something about the food this time made my girlfriend and I have an upset stomach. I think it was the soups. Eek!",0
"Great service and amaaaazing burgers! The taste and combinations are spot on! \nI had the Ronin burger and I became it's master! Nom Nom nom!\nMy friends got the Kiki burger and loved it!\n\nThe meat is soooo tender and melts in your mouth, the perfectly toasted sweet buns and tasty aoli's are the perfect match for these fusion burgers!\n\nCan't wait to come back, will defiantly be a stop before going back to LA anytime I'm in Vegas",1
"I'm from San Diego, CA, so I pretty much grew up with Mexican food. Taco shops were ubiquitous in my 'hood. Taco Bell and Tex-Mex? Flour tortillas and ground beef? No thank you, sir. So Chronic Taco reminds me of those taco shops that weren't that good, but you went because you were desperate and broke. And they always left you with belly full of grease. That's what Chronic reminds me of. \n\nBehind the faux-cool interior decor that includes graffiti tagged walls, Chronic cannot serve decent food consistently. I work nearby, so I know what's up. I think. At times, the food is good. But the next day can be downright gross. Their chicken tacos left me nauseated. I like their vegetarian and potato taco the best. The potato taco is probably the most interesting item in my opinion, it's like a mashed potato taco that is deep fried. Blasphemy right? It's actually tasty (in moderation, of course!) . But their veggie and potato tacos aren't good enough to visit every week. Next time, I'm sticking to Los Tacos.",0
"I arrived on a Thursday afternoon at 5pm when there was absolutely no other soul in the bakery (except for the staff). My pumpkin pastry with carmel topping was alright. I also tried the key lime cake and sour cream and apple cake. The key lime cake was definitely the best of the three.\n\nWhile I've been to better bakeries, I will definitely be back. I have heard stories of wonder and delight from other friends.\n\nThere is a small seating area with tables and a water dispenser for diners.",0
"I don't want to say one star, because some of the food (that I was lucky to get to) was good! Those running the trucks were all kind and friendly! The idea is fun! But this did not work.  It was over crowded, wrong area and wrong layout.  I would imagine a grassy area that the trucks could line up into a single line would work better, so the lines could stay more organized.  Grass for blankets and picnics. Limiting ticket sales should be considered, there was just too many people.  It felt stressful and dirty, we were trying to eat while standing in the next line.  The porta potties were too close to the trucks, they stank, and they were dark.  The water ran out from the hand washing station, thank goodness I stay stocked on disinfecting hand wet wipes. To top it off, the door failed and who knows how many people caught a peak at me hovering when someone opened the door to the one I was in. Yeah, I have a new embarrassing story to try and forget now...  But today, I can't forget because someones food isn't agreeing with us, and we have to stay close to our own clean, well lit bathrooms.   \n\nI had the goal to at least try to get a $65 meal worth of food for us, because that is what the tickets cost, but it didn't happen.  We ended up at Jersey Mikes after wards, just to get some food on our bellies.   \n\nThe good part, the ice cream from utterly delicious was soooooooooo good.  The sweet Caroline from epic hot dogs was very good. The hush puppy from the New Orleans style truck was very good.  The BBQ and coleslaw from the Piggy truck was very good.  The pork nachos were good, the cheese was sooooo good (this was the pink truck with a pretty blond on the front).  The creme brulee was yummy, no fancy steakhouse version, but still enjoyable.  \n\nThe frybread truck (on the far east side of the lot) wasn't good at all, the bread was doughy and had no flavor.  The lumpia from Hey Joe wasn't good either.",0
loved this place! went during a vacation with my boyfriend .. girl was really sweet . try the p90! freakin' amazing,1
"Always an interesting selection of fiction. Not an overly large selection, but it seems to rotate with regularity, and you won't have trouble finding some interesting titles and authors. \n\nCool setup, kind of has a retro vibe thing going on. And there are cats walking all over the place. \n\nThere is a mix of new and used on the shelves. The used prices are a little steeper than some of the other used book stores in Pittsburgh.",1
very avg lik most other indian restaurant !! though its decent compared to the price (9 bucks buffet )!!,0
"this is supposed to be the \""""world's greatest handburgers\""""\ni wasn't pleased. \n\nso i came here thinking it was a sit down restaurant, and boy was i wrong. \nyou walk in through the doors, and wait in line. when it's your turn, you order. \nand ordering is a hassle. maybe i'm too asian to figure out how to freaking order a burger, but i thought it was a bit challenging. \nthen they give you a buzzer thingy that lights up. \nnow you have to find a place to sit. \nOH MY GOSH, what a pain! you have to stake out a table and try to anticipate who's going to be done with their meal first and jump on it. \nwhen your food is ready, you go up to get it, and then you have to put your own lettece and tomato on it. [it's kinda like a buffet line] i give them extra kudos for making sure it was fresh, because the veggies DID look very very very fresh. \nthen you finally sit down and get to eat. not in peace though, because others are waiting for your table. \n\ni ended up paying $10 for a 1/3lb burger and wedges. they charged me extra for my grilled onions and guac. \ni think it's WAYYYYY overpriced for all the hassle i had to go through. you don't even pay that much at a sit down restaurant. \n\nyeah, the burgers were good, i guess. but i would never go back. \nmight as well go to IN-n-OUT and enjoy my meal for under $5 [which includes a drink]",0
"This was my first ATV free roam trip at the Nellis Dunes location, and it was so much fun!!!!!!!!  3 riders, 2 hour, at 125 per person.   I felt that was the best 125 i've spent at Vegas.\n\nNellis dunes offers steep hills,  ATV/Dirt Bike \""""park\"""" with large bankings, sand dunes.  The sand dunes area has a good view of Vegas strip from afar. \n\nAs an added bonus, we saw 4 F15 flying in formation as we were riding. \n\nI know i 'll be back for sure!\n\nTip: Bring long sleeve, sun block,  and water",1
"I do not understand these reviews at all. I went to Roberto's one evening for a burrito and some tacos. This place being from LA, already impressed me as I walked in the door. The second that I got in and paid my fee, my opinion changed. I cannot believe that they charge over $6 for two tacos, which were not only NOT fresh, but the tortilla was burned, the sour cream tasted terrible, and the beans were burnt. The meat tasted horrid, even worse than ground meat bought at some bad supermarket, and I don't even think it was steak. I don't understand why people rave about this place - it is strongly disappointing. I can't wait for another taco company or truck to come out with real Mexican food, fresh ingredients, and actual tacos that are worth their price. I wanted to make sure that it wasn't just this location so I went to the one on Harmon across from uNLV too and it was even worse. I've definitely had better, and while I understand that some businesses can stay in business due to the hype, this is definitely NOT authentic Mexican food. Instead it is a place that has cut corners and used poor quality food.",0
"Good southern food, especially by Vegas standards. Awesome ambience and friendly service. Prices are great and even better during happy hour (goes till 7:30). Half price appetizers! I especially recommend the oysters. Half dozen starting only at $4! Hear they have live music on the weekends. Will be back to check it out.",1
"Door guy was best member on entire staff!  We walked in, sat on patio, cocktail waitresses ignored every single person on patio, we finally went to bar to order a drink.  When at bar we saw a manager talk to the waitresses and tell them to quit chatting with each other and help the customers, we had already gone to bar so did not need them then (of course they didn't return when we could've used another round).  We then went to bar for another round and the bartenders did same as waitresses.  After a 15 minute wait to be acknowledged, mind you it was dead on Sunday evening, a bartender finally helped us.  We asked to speak with a manager just to let him know how terrible service had been, the manager came out and said you are drinking so I won't talk to you and he just walked away.  This place is the \""""jersey shore\"""" of Scottsdale, don't waist you time here.",0
Never said hello\nPity since the hats were nice \nTreated us poorly,0
"August 29 my coworkers and I ordered, first they sent me the wrong food, second I had a hair in my food! I used to always love Lins but not anymore. Hint...maybe wear a hair net and hair pulled back.",0
"During a recent roadtrip to Pittsburgh our party of three found ourselves tired and ready for something delicious for dinner with the caveat that it had to be walking distance from our hotel. We consulted Yelp and decided to try out Lidia's for dinner. \n\nThe place is located on the fringes of the Strip and has nice clean feel to it. That's about as good as things got for me personally. The service was not very good. We were seated and ignored for about 15 minutes although the dining room was almost empty. A bread basket was placed on the table, but the bread was not very good. Once our waiter did come, (he looked like a Mafia Don) it took another 10 minutes to get our drinks. \nI ordered the grilled octopus on a bed of potatoes and an heirloom tomato salad, both appetizers, as my meal. The tomatoes were not ripe and unfortunately did not have enough acid of any kind on them so that flavor was quite bland. There was no salt or pepper on the table, and no pepper was offered either. The octopus was bland but quite tender and fresh.\n\nMy husband ordered the salmon which he thought was good but a bit overcooked overall -- nothing to write home about. \n\nThe third person in our party ordered the pork porter house which was very tasty.\n\nBased on fellow Yelpers we ordered the strawberry pannacotta for desert but unfortunately they had none at 7:30! We settled for cookies and a tiramisu. We left overall feeling disappointed in the service and the quality of the food.",0
"Fawk I wish I was in AZ at this moment. Pita is sooooo good! I enjoyed there Humans, they have several variations and all are good. This is a kick ass place to grab a great salad as well. Overall I enjoyed it to the max.",1
